Date : 4/12/2019 12:12:19 AM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : "test message"
Date : 4/22/2019 5:25:01 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg!new"
Date : 4/22/2019 5:25:05 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg!new"
Date : 4/22/2019 5:25:12 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : "?rpg!new"
Date : 4/22/2019 5:25:20 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : "?rpg!new"
Date : 4/22/2019 5:25:47 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : "That didn't work :/"
Date : 4/22/2019 7:03:31 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/22/2019 7:03:39 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/22/2019 7:14:47 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/22/2019 7:15:00 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/22/2019 7:34:50 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/22/2019 7:35:01 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/25/2019 2:01:20 AM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">uHelp"
Date : 4/25/2019 2:01:34 AM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">uHelp"
Date : 4/25/2019 2:02:10 AM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">uHelp"
Date : 4/23/2019 1:19:37 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg> new"
Date : 4/23/2019 1:19:50 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:19:53 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:19:55 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg> new"
Date : 4/23/2019 1:21:07 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:21:10 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:25:17 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:25:21 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:27:15 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:27:18 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:28:22 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:28:26 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:28:57 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:29:01 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:32:16 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:32:20 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:34:48 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:34:51 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:36:04 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:36:08 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:36:46 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:36:49 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:38:07 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:38:10 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:40:06 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:40:09 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:42:09 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:42:12 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:42:39 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">players"
Date : 4/23/2019 1:42:48 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 1:42:52 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">help"
Date : 4/23/2019 1:43:00 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 1:43:08 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>locations"
Date : 4/23/2019 1:43:09 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>locations"
Date : 4/23/2019 1:43:26 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>here"
Date : 4/23/2019 1:48:02 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 1:50:15 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 1:50:22 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 1:52:59 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:53:03 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:53:12 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 1:53:12 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 1:53:16 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">off"
Date : 4/23/2019 1:56:24 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 1:56:24 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 1:56:44 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : "thats not true"
Date : 4/23/2019 1:56:48 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ":/"
Date : 4/23/2019 1:57:31 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 1:57:34 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 1:57:45 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 1:57:45 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 2:00:48 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 2:00:48 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 2:04:13 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 2:04:17 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 2:04:50 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 2:04:51 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 2:06:12 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 2:06:12 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 2:06:40 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 2:06:41 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 2:07:59 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 2:07:59 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 2:08:49 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 2:08:49 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 2:09:38 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 2:09:38 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 2:10:43 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>new"
Date : 4/23/2019 2:10:46 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>new"
Date : 4/23/2019 2:17:02 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 2:18:13 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 2:18:14 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 2:18:36 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 2:18:36 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 2:18:42 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">off"
Date : 4/23/2019 2:19:24 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>players"
Date : 4/23/2019 2:19:25 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>players"
Date : 4/23/2019 2:20:24 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>locations"
Date : 4/23/2019 2:20:25 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>locations"
Date : 4/23/2019 2:20:42 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>go Dungeon"
Date : 4/23/2019 2:20:42 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>go Dungeon"
Date : 4/23/2019 2:20:47 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>here"
Date : 4/23/2019 2:20:49 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">off"
Date : 4/23/2019 2:21:23 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>here"
Date : 4/23/2019 2:21:30 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>go Dungeon"
Date : 4/23/2019 2:21:30 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Deleted Message : ">rpg>go Dungeon"
Date : 4/23/2019 2:21:33 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>here"
Date : 4/23/2019 2:25:25 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>here"
Date : 4/23/2019 2:27:38 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>here"
Date : 4/23/2019 2:27:45 PM | Guild : Tinkery | Channel : test-channel | User : scar430 | Message : ">rpg>here"
